Row number,Sector,Gas,Activity,Additional aggregation,Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,Agriculture,N2O,Energy,,Oil,46.0528,57.3698,66.90427,58.0398,61.69725,60.75537,55.85739,70.29728,56.06474,43.44464,40.52808,48.72288,39.4232,37.87158,44.79692,47.01544,46.07366,48.20618,46.39078,65.14549,76.15002
2,Agriculture,N2O,Energy,,Other,0.06676,0.16856,0.22946,0.37499,0.39766,0.40789,0.16476,0.95088,0.53405,0.51881,0.49527,0.49008,0.44878,0.50471,0.50417,0.6451,1.10341,1.54254,1.20448,2.6719,3.74789
3,Agriculture,N2O,Agriculture,,Agricultural Burning,98.65131,94.94234,97.36886,57.80271,129.60265,108.88934,114.22158,121.13259,138.10365,136.85718,138.32963,122.08044,144.23141,121.59918,124.5215,150.41538,151.68728,135.96894,138.00652,145.5106,161.65909
4,Agriculture,N2O,Agriculture,,Crop Residues ,4368.7195,5433.73888,4696.28168,3114.45109,4672.76587,4497.2298,5142.26446,5832.31908,6260.70576,6171.21547,5686.94392,4824.60947,5723.90772,5575.22843,5877.36147,6240.37623,6295.60832,6141.63837,6229.72788,6471.20479,6873.80113
5,Agriculture,N2O,Agriculture,,Cultivated Histosols,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924,1011.04924
6,Agriculture,N2O,Agriculture,,Deposition ,1601.69444,1733.69695,1735.82848,1997.37265,1908.17516,1614.31078,1875.59126,1388.83692,2073.76015,1983.13647,1887.63756,1897.34991,2139.74178,1562.81686,1821.23287,2265.09472,1715.35722,1939.35475,1751.69067,1273.68569,1760.40749
7,Agriculture,N2O,Agriculture,,Feedlot ,3420.29761,3470.09854,3421.26134,3390.77076,3424.31857,3473.59176,3462.66771,3303.8466,3142.0316,3104.2436,3131.69678,3139.73173,3093.32816,3055.75831,3045.21076,3009.32616,3027.05492,3068.34988,3117.24569,3097.50283,3849.29122
8,Agriculture,N2O,Agriculture,,Fertilizer ,10638.39703,7841.79667,10498.02093,10609.40324,11043.58537,9217.00703,11453.88885,10692.43146,10905.94061,10517.38096,9702.29767,8879.39873,10053.68174,11513.562,10032.81504,10228.14005,9727.23242,11107.08934,9736.81901,10894.26691,11296.96412
9,Agriculture,N2O,Agriculture,,Legumes ,4793.25155,5479.29026,5312.21652,5410.80968,5543.6104,5546.7725,5623.37628,6115.8562,6406.06782,6526.00855,6709.70522,6612.61343,6499.1663,6705.8831,6528.63501,6228.38284,6569.64156,5597.38674,6340.49687,6411.20691,6383.80397
10,Agriculture,N2O,Agriculture,,Prescribed Burn ,0,0,0,0,0,0,0,0,0,0,0,0,0,382.22948,258.1633,316.36653,234.96155,274.7292,321.70846,469.37704,384.18819
