Sector,Gas,Activity,Additional aggregation,Category,Year,Emissions
Agriculture,N2O,Energy,,Oil,1990,46.0528
Agriculture,N2O,Energy,,Other,1990,0.0668
Agriculture,N2O,Agriculture,,Agricultural Burning,1990,98.6513
Agriculture,N2O,Agriculture,,Crop Residues ,1990,4368.7195
Agriculture,N2O,Agriculture,,Cultivated Histosols,1990,1011.0492
Agriculture,N2O,Agriculture,,Deposition ,1990,1601.6944
Agriculture,N2O,Agriculture,,Feedlot ,1990,3420.2976
Agriculture,N2O,Agriculture,,Fertilizer ,1990,10638.397
Agriculture,N2O,Agriculture,,Legumes ,1990,4793.2516
Agriculture,N2O,Agriculture,,Prescribed Burn ,1990,0
Agriculture,N2O,Agriculture,,Manure Soil Applications ,1990,2045.9738
Agriculture,N2O,Agriculture,,Runoff ,1990,3836.9453
Agriculture,N2O,Agriculture,,Wildfire ,1990,189.1076
Agriculture,CH4,Energy,,Oil,1990,284.884
Agriculture,CH4,Energy,,Other,1990,0.3755
Agriculture,CH4,Agriculture,,Agricultural Burning,1990,2568.2135
Agriculture,CH4,Agriculture,,Manure ,1990,53655.5652
Agriculture,CH4,Agriculture,,Prescribed Burn ,1990,0
Agriculture,CH4,Agriculture,,Ruminants ,1990,237396.9368
Agriculture,CH4,Agriculture,,Wild Rice ,1990,5498.0566
Agriculture,CH4,Agriculture,,Wildfire ,1990,3511.1627
Agriculture,CO2,Energy,,Oil,1990,2193002.411
Agriculture,CO2,Agriculture,,Erosion ,1990,115810.6408
Agriculture,CO2,Agriculture,,Histosol Cultivation ,1990,5158284.304
Agriculture,CO2,Agriculture,,Liming of Fields ,1990,49329.9629
Agriculture,CO2,Agriculture,,Urea Applications ,1990,243993.932
Agriculture,CO,Energy,,Energy,1990,17590
Agriculture,Biomass CO2,Biomass,,Ethanol,1990,2551.5049
Agriculture,Biomass CO2,Biomass,,Biodiesel,1990,0
Agriculture,Biomass CO2,Agriculture,,Prescribed Burn ,1990,0
Commercial,N2O,Energy,,Coal,1990,6.132
Commercial,N2O,Energy,,Oil,1990,5.7337
Residential,CO2,other,,Sequestration in housing units,2006,-1082217.016
Commercial,N2O,Energy,,Other,1990,4.6512
Commercial,N2O,other,,Medical Uses,1990,271.5628
Commercial,CH4,Energy,,Coal,1990,40.88
Commercial,CH4,Energy,,Oil,1990,101.4026
Waste,CO2,Waste,,Sequestration in demolition/construction/landfills,2006,-1032678.75
Commercial,CH4,Energy,,Other,1990,348.4845
Commercial,CO2,Energy,,Coal,1990,390704.502
Commercial,CO2,Energy,,Oil,1990,789375.1005
Residential,CO2,Energy,,Natural gas,1996,8465332.16
Commercial,CO2,Energy,,Other,1990,104.1749
Commercial,CO2,other,,Limestone use,1990,0
Commercial,CO2,other,,Solvent uses,1990,87575.1139
Commercial,CO,Energy,,Coal,1990,223
Commercial,CO,Energy,,Oil,1990,103.02
Waste,CO2,Waste,,Sequestration in demolition/construction/landfills,2007,-976038.48
Commercial,CO,Energy,,Other,1990,29
Commercial,Biomass CO2,Biomass,,Solid biomass,1990,141349.4467
Commercial,Biomass CO2,Biomass,,Liquid biofuels,1990,818.767
Electricity Generation,N2O,Energy,,Coal,1990,275.8667
Electricity Generation,N2O,Energy,,Oil,1990,68.7401
Residential,CO2,Energy,,Natural gas,2003,8107564.945
Electricity Generation,N2O,Energy,,Other,1990,151.1175
Electricity Generation,N2O,Energy,,Energy-Net Electricity Imports,1990,123.9746
Electricity Generation,CH4,Energy,,Coal,1990,213.4799
Electricity Generation,CH4,Energy,,Oil,1990,8.9733
Waste,CO2,Waste,,Sequestration in demolition/construction/landfills,2008,-900298.09
Electricity Generation,CH4,Energy,,Other,1990,19.0281
Electricity Generation,CH4,Energy,,Hydroelectric,1990,114.336
Electricity Generation,CH4,Energy,,Coal storage,1990,2321.5896
Electricity Generation,CH4,Energy,,Energy-Net Electricity Imports,1990,669.745
Electricity Generation,CO2,Energy,,Coal,1990,31806676.81
Electricity Generation,CO2,Energy,,Oil,1990,562291.3004
Residential,CO2,Energy,,Natural gas,2002,7936889.584
Electricity Generation,CO2,Energy,,Other,1990,468915.0459
Electricity Generation,CO2,Energy,,FGD,1990,0
Electricity Generation,CO2,Energy,,Energy-Net Electricity Imports,1990,8183748.05
Electricity Generation,CO,Energy,,Coal,1990,5362.0217
Electricity Generation,CO,Energy,,Oil,1990,77.95
Residential,CO2,Energy,,Natural gas,2004,7802059.754
Electricity Generation,CO,Energy,,Other,1990,1337.0019
Electricity Generation,CO,Energy,,Energy-Net Electricity Imports,1990,1714.1051
Electricity Generation,SF6,Energy,,Energy,1990,23.962
Electricity Generation,SF6,Energy,,Energy-Net Electricity Imports,1990,5.8847
Electricity Generation,Biomass CO2,Biomass,,Solid biomass,1990,1069443.428
Electricity Generation,Biomass CO2,Biomass,,Liquid biofuels,1990,0
Electricity Generation,Biomass CO2,Biomass,,Biogas,1990,0
Waste,N2O,Energy,Incinerated Waste,Waste Sector RDF (energy),1990,4.4769
Waste,N2O,Energy,Incinerated Waste,Waste Sector Mass Burn (energy),1990,2.981
Waste,N2O,Energy,Incinerated Waste,Sludge Incineration (energy),1990,2.4392
Waste,N2O,Energy,Associated Incinerator Fuels,Bituminous coal,1990,0
Waste,N2O,Energy,Associated Incinerator Fuels,Wood,1990,0.2966
Waste,N2O,Energy,Associated Incinerator Fuels,Natural gas-steam,1990,0.488
Waste,N2O,Energy,Associated Incinerator Fuels,Propane,1990,0
Waste,N2O,Energy,Associated Incinerator Fuels,Distillate fuel oil-steam,1990,0.0119
Waste,N2O,Energy,Associated Incinerator Fuels,Natural gas-internal combustion engine,1990,0
Waste,N2O,Energy,Associated Incinerator Fuels,Distillate fuel oil-internal combustion,1990,0
Waste,N2O,Energy,Waste Processing,Landfill Operations (energy),1990,0.2721
Waste,N2O,Energy,Waste Processing,Yard Waste Preprocessing (energy),1990,0.0169
Waste,N2O,Energy,Waste Processing,MMSW Compost Preprocessing (energy),1990,0.0064
Waste,N2O,Energy,Waste Processing,MRF (energy),1990,0.0899
Waste,N2O,Energy,Waste Processing,RDF Processing (energy),1990,0.0557
